2014-11-04 04:10:35 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 04:12:24 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 04:20:44 Debug: Notice (8): Undefined variable: input_zip in [C:\localhost\www\historial_clinico\app\controllers\administracion_controller.php, line 150]
2014-11-04 04:20:57 Debug: Notice (8): Undefined variable: input_zip in [C:\localhost\www\historial_clinico\app\controllers\administracion_controller.php, line 150]
2014-11-04 20:25:45 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 20:56:28 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 20:57:50 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 23:04:05 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 23:04:11 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 23:07:45 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 23:08:44 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-05 05:02:46 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-07 01:22:15 Debug: Notice (8): Undefined index: nombre_servicio in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 113]
2014-11-07 01:22:15 Debug: Notice (8): Undefined index: cantidad in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 114]
2014-11-07 01:22:15 Debug: Notice (8): Undefined index: nombre_servicio in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 113]
2014-11-07 01:22:15 Debug: Notice (8): Undefined index: cantidad in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 114]
2014-11-07 01:23:02 Debug: Notice (8): Undefined index: nombre_servicio in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 113]
2014-11-07 01:23:02 Debug: Notice (8): Undefined index: cantidad in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 114]
2014-11-07 01:23:03 Debug: Notice (8): Undefined index: nombre_servicio in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 113]
2014-11-07 01:23:03 Debug: Notice (8): Undefined index: cantidad in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 114]
2014-11-07 01:23:37 Debug: Notice (8): Undefined index: nombre_servicio in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 113]
2014-11-07 01:23:37 Debug: Notice (8): Undefined index: cantidad in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 114]
2014-11-07 01:23:37 Debug: Notice (8): Undefined index: nombre_servicio in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 113]
2014-11-07 01:23:37 Debug: Notice (8): Undefined index: cantidad in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 114]
2014-11-07 01:23:58 Debug: Notice (8): Undefined index: cantidad in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 115]
2014-11-07 01:23:58 Debug: Notice (8): Undefined index: cantidad in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 115]
2014-11-07 01:24:24 Debug: Notice (8): Array to string conversion in [C:\localhost\www\historial_clinico\cake\basics.php, line 324]
2014-11-07 01:24:24 Debug: Notice (8): Array to string conversion in [C:\localhost\www\historial_clinico\cake\basics.php, line 324]
2014-11-07 01:24:43 Debug: Notice (8): Array to string conversion in [C:\localhost\www\historial_clinico\cake\basics.php, line 324]
2014-11-07 01:24:43 Debug: Notice (8): Array to string conversion in [C:\localhost\www\historial_clinico\cake\basics.php, line 324]
2014-11-07 02:03:15 Debug: Notice (8): Undefined index: nombre_servicio in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 113]
2014-11-07 02:03:15 Debug: Notice (8): Undefined index: nombre_servicio in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 113]
2014-11-07 02:10:12 Debug: Notice (8): Undefined index: HistorialPaciente in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 131]
2014-11-07 02:20:13 Debug: Notice (8): Undefined variable: otrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 75]
2014-11-07 02:20:26 Debug: Notice (8): Undefined variable: otrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 75]
2014-11-07 02:22:55 Debug: Notice (8): Undefined variable: otrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 75]
2014-11-07 02:23:09 Debug: Notice (8): Undefined variable: otrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 75]
2014-11-07 02:23:50 Debug: Notice (8): Undefined variable: otrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 75]
2014-11-07 02:26:21 Debug: Notice (8): Undefined index: OtrosServiciosPaciente in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 75]
2014-11-07 02:26:31 Debug: Notice (8): Undefined index: OtrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 79]
2014-11-07 02:26:31 Debug: Notice (8): Undefined index: OtrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 81]
2014-11-07 02:26:31 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 81]
2014-11-07 02:26:31 Debug: Notice (8): Undefined index: OtrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 83]
2014-11-07 02:33:12 Debug: Notice (8): Undefined index: OtrosServiciosPaciente in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 73]
2014-11-07 02:33:25 Debug: Notice (8): Undefined index: OtrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 77]
2014-11-07 02:33:25 Debug: Notice (8): Undefined index: OtrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 78]
2014-11-07 02:33:42 Debug: Notice (8): Undefined index: OtrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 77]
2014-11-07 02:33:43 Debug: Notice (8): Undefined index: OtrosServicios in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 78]
2014-11-07 02:34:00 Debug: Notice (8): Undefined index: OtrosServiciosPaciente in [C:\localhost\www\historial_clinico\app\views\consultas\tratamiento.ctp, line 73]
2014-11-07 20:51:20 Debug: Notice (8): Undefined index: TratamientosPaciente in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 151]
